Publication,Year,Type,Focus,URL
NAVMC 1200.1L (MOS Manual),2025,NAVMC,MOS definitions,https://www.marines.mil/Portals/1/Publications/NAVMC%201200.1L%20%28SECURED%29.pdf
MCWP 5-10 Marine Corps Planning Process,2018/2020,MCWP,Planning process,https://www.marines.mil/Portals/1/Publications/MCWP%205-10.pdf
NAVMC 3500.106A Ground T&R Program,2021,NAVMC,T&R program policy,https://www.marines.mil/Portals/1/Publications/NAVMC%203500.106A.pdf
MCO 1553.3C Unit Training Management,2023,MCO,Training policy,https://www.marines.mil/News/Publications/MCPEL/Electronic-Library-Display/Article/899431/mco-15533c/
MCO 3000.13B Readiness Reporting,2020,MCO,Unit readiness reporting (DRRS-MC),https://www.ppo.marines.mil/Portals/138/Docs/POR/MCO%203000_13B%20Published.pdf
NAVMC 3500.3E Manpower & Administration T&R,2020,NAVMC,G1 training standards,https://www.marines.mil/Portals/1/Publications/NAVMC%203500.3E%20Manpower%20and%20Administrtion%20T-R%20Manual.pdf
NAVMC 3500.100C Intelligence & Ground Sensors T&R,2019,NAVMC,G2 training standards,https://www.marines.mil/Portals/1/Publications/NAVMC%203500.100C%20Intelligence%20and%20Ground%20Sensors%20T-R%20Manual.pdf
MCWP 2-10 Intelligence Operations,2021,MCWP,Intel doctrine,https://www.marines.mil/Portals/1/Publications/MCWP%202-10.pdf
MCRP 2-10B.1 Intelligence Preparation of the Battlespace,2023,MCRP,Intel/IPB reference,https://www.marines.mil/Portals/1/Publications/MCRP%202-10B.1.pdf
NAVMC 3500.54E Command & Control T&R,2019,NAVMC,C2 training standards,https://www.marines.mil/Portals/1/Publications/NAVMC%203500.54E%20Command%20and%20Control%20T-R%20Manual.pdf
MCWP 3-01 Offensive and Defensive Tactics,2019,MCWP,Tactics,https://www.marines.mil/Portals/1/Publications/MCWP%203-01.pdf
NAVMC 3500.27D Logistics T&R,2019,NAVMC,Logistics training standards,https://www.marines.mil/Portals/1/Publications/NAVMC%203500.27D.pdf
NAVMC 3500.64D Supply Chain Management T&R,2022,NAVMC,Supply chain training standards,https://www.marines.mil/Portals/1/Publications/NAVMC%203500.64D.pdf
NAVMC 3500.39D Motor Transport T&R,2020,NAVMC,Motor Tpt training standards,https://www.marines.mil/Portals/1/Publications/NAVMC%203500.39D%20Motor%20Transport%20T-R%20Manual.pdf
NAVMC 3500.33C Ground Ordnance Maintenance T&R,2019,NAVMC,Ordnance maint standards,https://www.marines.mil/Portals/1/Publications/NAVMC%203500.33C%20Ground%20Ordnance%20Maintenance%20T-R%20Man.pdf
MCO 4400.201 Vol 3 Retail Supply Policy,2016,MCO,Supply policy,https://www.marines.mil/Portals/1/Publications/MCO%204400.201%20Volume%203_Final.pdf
NAVMC 3500.108B MAGTF Planner T&R,2020,NAVMC,Planning community standards,https://www.marines.mil/Portals/1/Publications/NAVMC%203500.108B%20Marine%20Air-Ground%20Task%20Force%20Planner%20T-R%20Manual.pdf
NAVMC 3500.56C Communications T&R,2016,NAVMC,Communications training standards,https://www.marines.mil/portals/1/publications/communications%20t-r%20manual.pdf
NAVMC 3500.6C Ground Electronics Maintenance T&R,2017,NAVMC,Electronics maintenance standards,https://www.marines.mil/News/Publications/MCPEL/Electronic-Library-Display/Article/1462111/navmc-35006c/
Commander’s Readiness Handbook,2020,Handbook,Readiness reporting overview,https://www.ppo.marines.mil/Portals/138/Docs/POR/Commanders_Readiness_Handbook_2020.pdf
NAVMC 3500.69C Financial Management T&R,2018,NAVMC,Financial Mgmt standards,https://www.marines.mil/portals/1/Publications/NAVMC%203500.69C%20Financial%20Management%20T-R%20Manual.pdf
MCO 7300.21B Financial Mgmt SOP,2015,MCO,Financial Mgmt SOP and policy,https://www.marines.mil/portals/1/mco_7300.21b_final_signed.pdf
NAVMC 3500.9C COMMSTRAT T&R,2018,NAVMC,COMMSTRAT standards,https://www.marines.mil/Portals/1/Publications/NAVMC%203500.9C%20Communication%20Strategy%20and%20Operations%20T-R%20Manual.pdf
NAVMC 3500.124A Information Maneuver T&R (Ch 1),2022,NAVMC,Information maneuver,https://www.marines.mil/Portals/1/Publications/NAVMC%203500.124A%20Ch%201.pdf
MCWP 8-10 Information in Marine Corps Operations,2024,MCWP,Information warfighting function,https://www.marines.mil/Portals/1/Publications/MCWP%208-10%20%28SECURED%29.pdf
MCWP 11-10 Marine Corps Legal Support,2025,MCWP,Legal support doctrine,https://www.marines.mil/Portals/1/Publications/MCWP%2011-10%20%28SECURED%29.pdf
